airport,month,avg.tdiff
bradford,1,4.972897196261682
bradford,2,5.167592592592593
bradford,3,6.237037037037037
bradford,4,7.325233644859813
bradford,5,8.272115384615384
bradford,6,8.223809523809523
bradford,7,7.748148148148148
bradford,8,7.5509615384615385
bradford,9,7.018867924528302
bradford,10,6.146296296296296
bradford,11,5.197247706422019
bradford,12,4.911009174311927
heathrow,1,5.74
heathrow,2,6.232857142857143
heathrow,3,7.6571428571428575
heathrow,4,8.746376811594203
heathrow,5,9.221739130434782
heathrow,6,9.518840579710146
heathrow,7,9.48840579710145
heathrow,8,9.23768115942029
heathrow,9,8.568115942028985
heathrow,10,7.340579710144928
heathrow,11,6.265217391304348
heathrow,12,5.71159420289855
oxford,1,5.281212121212121
oxford,2,5.8945454545454545
oxford,3,7.555151515151515
oxford,4,8.820121951219512
oxford,5,9.526219512195121
oxford,6,9.61890243902439
oxford,7,9.549390243902439
oxford,8,9.24390243902439
oxford,9,8.6292682926829265
oxford,10,7.257926829268293
oxford,11,5.9573170731707314
oxford,12,5.287730061349693
stornoway,1,4.921985815602837
stornoway,2,5.243356643356643
stornoway,3,5.7006993006993
stornoway,4,6.23943661971831
stornoway,5,6.420979020979021
stornoway,6,6.136363636363637
stornoway,7,5.768055555555556
stornoway,8,5.819444444444445
stornoway,9,5.770833333333333
stornoway,10,5.595138888888889
stornoway,11,5.25
stornoway,12,5.003472222222222
