month,bradford.tdiff,heathrow.tdiff,oxford.tdiff,stornoway.tdiff
1,4.972897196261682,5.74,5.281212121212121,4.921985815602837
2,5.167592592592593,6.232857142857143,5.8945454545454545,5.243356643356643
3,6.237037037037037,7.6571428571428575,7.555151515151515,5.7006993006993
4,7.325233644859813,8.746376811594203,8.820121951219512,6.23943661971831
5,8.272115384615384,9.221739130434782,9.526219512195121,6.420979020979021
6,8.223809523809523,9.518840579710146,9.61890243902439,6.136363636363637
7,7.748148148148148,9.48840579710145,9.549390243902439,5.768055555555556
8,7.5509615384615385,9.23768115942029,9.24390243902439,5.819444444444445
9,7.018867924528302,8.568115942028985,8.6292682926829265,5.770833333333333
10,6.146296296296296,7.340579710144928,7.257926829268293,5.595138888888889
11,5.197247706422019,6.265217391304348,5.9573170731707314,5.25
12,4.911009174311927,5.71159420289855,5.287730061349693,5.003472222222222
